"login_hash","server_hash","country_hash","currency","enable"
"03A15F382AF3D505592CA69EFD4DC431","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"F8ADF5FF9840712CE2AF7FA9EA2A3FA7","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"B78CD788AB20A5D61CB13BD5389CABB3","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"DEFB729116227EF8582BFEC65F998489","76791A893BDB9A68E8EE44898D581A60","103357E3E40A9C0E4E9D36110F7BBC7A","USD",1
"9EAD9A73AA6C93823C56BB8C2E798B45","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"A244C34BC761A97487485F0FF5A43A49","3D1F7E00251C43107EF39F55300781DB","4442E4AF0916F53A07FB8CA9A49B98ED","AUD",1
"320E61C42ECF023CAFE14891CF0158EF","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"EBF2C7DC4D5AF44E0B67749299ED9520","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"2BC2E3348A7BF6EB355EF0B1823FE531","76791A893BDB9A68E8EE44898D581A60","4442E4AF0916F53A07FB8CA9A49B98ED","USD",1
"1A825113C3CC7A193A8F8A49AC70435B","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"6182DF082A59A7C0096BC61C65676312","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"2D231791337CA0053B1357F8B7C12EA7","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"08576C15995ABC09831AD7E2D01E2138","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"3CFC21033AFC0A7432C044AF7CF5324F","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"4D9F848153F7E5EB597A3A76388B79D2","3D1F7E00251C43107EF39F55300781DB","4442E4AF0916F53A07FB8CA9A49B98ED","AUD",1
"F5212D7F4DCE1DE2C1369D9B0539CD21","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"AE1CB93D7ED4BF451AF712E30FDBD774","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"681891A28A62EE74DFAB3EE18C6C303E","76791A893BDB9A68E8EE44898D581A60","D1937220A4F6A24A5A9BAF2978211F98","USD",1
"06F60E55735BACCA3FF8B3D56913F4AD","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"F5212D7F4DCE1DE2C1369D9B0539CD21","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"28D2EAB448BE4B542EEDA07AB86AA933","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
"5011C224578C0C5E89AFE4DA7A4A55F1","76791A893BDB9A68E8EE44898D581A60","AE54A5C026F31ADA088992587D92CB3A","USD",1
